Column1,Column2,Column3,Column4,Column5,Column6
N_sample,X,Y,Z,ID,label
12,-603,-54,1020,14,circle
13,-930,-59,1204,14,circle
14,464,-36,977,14,circle
15,240,-77,1110,14,circle
16,-32,-70,968,14,circle
17,-20,-19,865,14,circle
18,42,-4,932,14,circle
19,90,-16,935,14,circle
20,41,-12,1017,14,circle
21,61,-15,940,14,circle
22,101,-51,1015,14,circle
23,108,-32,933,14,circle
24,115,-22,919,14,circle
25,112,-38,1004,14,circle
1,110,-23,890,15,circle
2,110,-23,890,15,circle
3,144,-73,967,15,circle
4,92,-54,877,15,circle
5,225,-154,1005,15,circle
6,211,-133,1099,15,circle
7,328,-139,1121,15,circle
8,417,116,828,15,circle
9,424,381,605,15,circle
10,617,410,427,15,circle
11,425,530,528,15,circle
12,-387,371,314,15,circle
13,-479,153,933,15,circle
14,-275,-28,1017,15,circle
15,-195,-186,1150,15,circle
16,146,-115,1236,15,circle
17,303,-52,1069,15,circle
18,203,17,801,15,circle
19,113,78,771,15,circle
20,155,124,1053,15,circle
21,95,205,1532,15,circle
22,156,76,790,15,circle
23,204,414,909,15,circle
24,-221,302,294,15,circle
25,-455,156,598,15,circle
1,100,7,906,16,circle
2,167,-34,967,16,circle
3,134,-19,900,16,circle
4,134,-27,993,16,circle
5,142,-32,987,16,circle
6,135,-21,909,16,circle
7,118,-12,971,16,circle
8,135,-34,902,16,circle
9,106,-41,1011,16,circle
10,82,-52,1022,16,circle
11,397,-76,1296,16,circle
12,308,168,645,16,circle
13,213,281,694,16,circle
14,321,529,625,16,circle
15,-268,410,473,16,circle
16,-10,186,756,16,circle
17,-611,46,1178,16,circle
18,-625,-124,925,16,circle
19,186,-289,1182,16,circle
20,337,-190,1111,16,circle
21,263,-15,938,16,circle
22,147,24,790,16,circle
23,37,87,833,16,circle
24,61,126,838,16,circle
25,32,128,1029,16,circle
1,156,-52,1024,17,circle
2,110,-37,874,17,circle
3,184,-56,986,17,circle
4,104,-75,985,17,circle
5,-30,-64,806,17,circle
6,177,-80,990,17,circle
7,193,56,1030,17,circle
8,103,67,1098,17,circle
9,124,347,825,17,circle
10,144,554,525,17,circle
11,112,397,402,17,circle
12,-106,210,733,17,circle
13,-375,-76,701,17,circle
14,-464,-168,704,17,circle
15,-105,-237,1136,17,circle
16,272,-159,1197,17,circle
17,146,-69,908,17,circle
18,4,44,747,17,circle
19,125,59,1137,17,circle
20,79,81,900,17,circle
21,142,99,906,17,circle
22,68,102,964,17,circle
23,28,109,876,17,circle
24,-33,76,1059,17,circle
25,-58,128,898,17,circle
1,106,63,1025,18,circle
2,106,63,1025,18,circle
3,95,61,916,18,circle
4,134,64,929,18,circle
5,76,68,912,18,circle
6,101,36,942,18,circle
7,-106,-46,1090,18,circle
8,2,64,1166,18,circle
9,459,341,606,18,circle
10,252,227,50,18,circle
11,-945,-219,422,18,circle
12,-703,-369,1786,18,circle
13,422,-91,890,18,circle
14,16,63,668,18,circle
15,6,65,1066,18,circle
16,96,67,968,18,circle
17,46,29,965,18,circle
18,35,59,1015,18,circle
19,46,61,903,18,circle
20,165,38,902,18,circle
21,141,52,864,18,circle
22,152,15,978,18,circle
23,115,32,984,18,circle
24,62,31,933,18,circle
25,122,50,969,18,circle
1,214,13,942,19,circle
2,180,17,973,19,circle
3,115,13,868,19,circle
4,-253,-45,1222,19,circle
5,230,-58,1501,19,circle
6,521,330,844,19,circle
